epoch,lr,loss,acc,mean_acc,test_loss,test_acc,test_mean_acc
1,0.0000010000,2.369292,0.118767,0.118519,2.348889,0.126615,0.125726
2,0.0000208000,2.111240,0.295143,0.292399,1.762487,0.579457,0.574276
3,0.0000406000,1.546807,0.618202,0.615298,1.133495,0.781654,0.778454
4,0.0000604000,1.141583,0.766016,0.764917,0.885454,0.859819,0.857903
5,0.0000802000,0.958463,0.828143,0.827127,0.798918,0.888889,0.887359
6,0.0001000000,0.865035,0.864289,0.863441,0.746566,0.912145,0.910435
7,0.0000975773,0.801177,0.891883,0.891252,0.717242,0.922481,0.920361
8,0.0000905463,0.766376,0.906406,0.905809,0.697685,0.931525,0.930003
9,0.0000795954,0.735565,0.919154,0.918441,0.688234,0.935401,0.933977
10,0.0000657963,0.715740,0.926255,0.925944,0.685032,0.938630,0.937583
11,0.0000505000,0.701974,0.934484,0.934204,0.679843,0.934109,0.933107
12,0.0000352037,0.686385,0.939325,0.938761,0.673791,0.943152,0.942634
13,0.0000214046,0.682719,0.937228,0.936753,0.668675,0.941214,0.940048
14,0.0000104537,0.675135,0.946264,0.945989,0.669108,0.944444,0.943664
15,0.0000034227,0.666071,0.947394,0.946927,0.670582,0.939276,0.938152
16,0.0000010000,0.676814,0.945942,0.945653,0.667396,0.944444,0.943684
17,0.0000034227,0.670238,0.948846,0.948236,0.667918,0.942506,0.941277
18,0.0000104537,0.664076,0.953042,0.953020,0.666335,0.943798,0.943189
19,0.0000214046,0.664185,0.950460,0.949968,0.666543,0.943798,0.942864
20,0.0000352037,0.657573,0.950944,0.950519,0.666059,0.947028,0.946114
21,0.0000505000,0.668346,0.947878,0.947628,0.666237,0.944444,0.943799
22,0.0000657963,0.651856,0.953687,0.953507,0.662216,0.944444,0.943504
23,0.0000795954,0.654254,0.954494,0.953918,0.661822,0.946382,0.945684
24,0.0000905463,0.646519,0.955624,0.955431,0.660577,0.948320,0.947535
25,0.0000975773,0.637000,0.959335,0.958685,0.654564,0.947674,0.947526
26,0.0001000000,0.625600,0.964983,0.964916,0.660290,0.945736,0.945164
27,0.0000975773,0.613815,0.971761,0.971790,0.650643,0.950904,0.950421
28,0.0000905463,0.612508,0.968695,0.968759,0.654675,0.949612,0.948653
29,0.0000795954,0.606666,0.973051,0.972939,0.645292,0.951550,0.951060
30,0.0000657963,0.601167,0.974181,0.974113,0.644843,0.950904,0.950635
31,0.0000505000,0.599051,0.976117,0.975859,0.640053,0.950904,0.950434
32,0.0000352037,0.593037,0.978377,0.978189,0.636482,0.955426,0.955120
33,0.0000214046,0.588780,0.979345,0.979235,0.636320,0.951550,0.951465
34,0.0000104537,0.588905,0.977086,0.976950,0.635933,0.952842,0.952625
35,0.0000034227,0.587925,0.979506,0.979369,0.636608,0.952196,0.951980
36,0.0000010000,0.582669,0.983379,0.983183,0.637874,0.951550,0.951350
37,0.0000034227,0.583553,0.980797,0.980702,0.638208,0.949612,0.949149
38,0.0000104537,0.580066,0.982572,0.982455,0.637714,0.952196,0.951870
39,0.0000214046,0.585497,0.979990,0.979894,0.637562,0.950904,0.950550
40,0.0000352037,0.587458,0.979183,0.979140,0.638824,0.947674,0.947099
41,0.0000505000,0.583655,0.980959,0.980849,0.641665,0.948966,0.948109
42,0.0000657963,0.586547,0.977893,0.977840,0.643466,0.950904,0.950193
43,0.0000795954,0.584675,0.978861,0.978842,0.646732,0.947674,0.946928
44,0.0000905463,0.589726,0.977408,0.977387,0.640252,0.951550,0.951075
45,0.0000975773,0.584012,0.981281,0.981113,0.637065,0.957364,0.956910
46,0.0001000000,0.579084,0.983056,0.982834,0.644753,0.948320,0.947594
47,0.0000975773,0.579035,0.981281,0.981239,0.638127,0.951550,0.951290
48,0.0000905463,0.577498,0.981443,0.981269,0.637816,0.949612,0.949195
49,0.0000795954,0.578557,0.980152,0.979984,0.641699,0.948320,0.947859
50,0.0000657963,0.573261,0.984186,0.983943,0.635381,0.948320,0.947704
51,0.0000505000,0.563021,0.988866,0.988853,0.631087,0.955426,0.954814
52,0.0000352037,0.562446,0.988059,0.987872,0.627059,0.958010,0.957750
53,0.0000214046,0.560524,0.989188,0.989107,0.623568,0.959302,0.959041
54,0.0000104537,0.558083,0.989350,0.989399,0.627939,0.955426,0.954835
55,0.0000034227,0.557735,0.988059,0.988029,0.625047,0.955426,0.954945
56,0.0000010000,0.560004,0.988381,0.988104,0.623965,0.958010,0.957555
57,0.0000034227,0.562408,0.987091,0.987017,0.623598,0.958010,0.957555
58,0.0000104537,0.559182,0.988381,0.988149,0.623770,0.958010,0.957555
59,0.0000214046,0.559595,0.988866,0.988672,0.625969,0.955426,0.954614
60,0.0000352037,0.558945,0.989188,0.989077,0.627796,0.955426,0.954965
61,0.0000505000,0.559775,0.989027,0.989004,0.627427,0.952196,0.951780
62,0.0000657963,0.558169,0.987897,0.987939,0.624561,0.954780,0.954526
63,0.0000795954,0.558400,0.989188,0.989087,0.625060,0.954134,0.953715
64,0.0000905463,0.559735,0.987897,0.987762,0.626685,0.953488,0.952891
65,0.0000975773,0.561542,0.986122,0.985956,0.632596,0.953488,0.953270
66,0.0001000000,0.563454,0.986445,0.986344,0.630463,0.954780,0.954215
67,0.0000975773,0.559105,0.987252,0.987191,0.634474,0.950258,0.949929
68,0.0000905463,0.555116,0.988704,0.988588,0.635786,0.948966,0.948574
69,0.0000795954,0.559409,0.985638,0.985619,0.637095,0.949612,0.948559
70,0.0000657963,0.550381,0.989995,0.989848,0.627372,0.953488,0.953079
71,0.0000505000,0.552571,0.989511,0.989375,0.624444,0.956072,0.955224
72,0.0000352037,0.548012,0.989188,0.988994,0.626440,0.955426,0.954884
73,0.0000214046,0.546477,0.990641,0.990614,0.624845,0.953488,0.952840
74,0.0000104537,0.544297,0.993061,0.992986,0.625203,0.955426,0.954730
75,0.0000034227,0.546376,0.990157,0.990102,0.624905,0.956072,0.955349
76,0.0000010000,0.543313,0.993223,0.993212,0.628446,0.952842,0.952114
77,0.0000034227,0.546571,0.990963,0.990919,0.623064,0.954780,0.954230
78,0.0000104537,0.544855,0.992254,0.992274,0.625472,0.954134,0.953544
79,0.0000214046,0.541875,0.993061,0.992940,0.624173,0.955426,0.954884
80,0.0000352037,0.547491,0.991286,0.991282,0.624413,0.956718,0.956195
81,0.0000505000,0.539080,0.993384,0.993206,0.620655,0.959302,0.958669
82,0.0000657963,0.547684,0.990479,0.990416,0.623940,0.954780,0.954259
83,0.0000795954,0.544828,0.992093,0.992064,0.632039,0.949612,0.948869
